Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Matrix Composition 1/10x10/hmatrix,2.6218607473240154e-6,2.5682496741607146e-6,2.7197483836943644e-6,2.3667266618063705e-7,9.87010896820497e-8,3.673297798352107e-7
Matrix Composition 1/10x10/matrix,1.8887415957203063e-5,1.7846834691544962e-5,2.0926194766850264e-5,5.0818645054229234e-6,2.646004255859103e-6,7.834927204051244e-6
Matrix Composition 1/10x10/linear,7.210775615290752e-5,7.065577740779354e-5,7.582226853880135e-5,7.97121323314765e-6,2.5387696026427055e-6,1.4545398606327748e-5
Matrix Composition 1/10x10/laop,1.257595483966918e-4,1.250612945032554e-4,1.27116467075473e-4,3.11505278532362e-6,1.906667363548335e-6,5.365862198025484e-6
Matrix Composition 2/25x25/hmatrix,2.314095525056267e-5,2.3070306754151683e-5,2.333236819678715e-5,3.7851521962431564e-7,9.608972733519208e-8,7.034407896422976e-7
Matrix Composition 2/25x25/matrix,5.664682731738127e-4,5.487421857139168e-4,5.844554819925606e-4,6.091570628774713e-5,4.840556347864597e-5,7.72518024148498e-5
Matrix Composition 2/25x25/linear,2.5956263753318417e-3,2.241913941203156e-3,3.0265126041763165e-3,1.290113740085205e-3,1.020240832924767e-3,1.6885659139344083e-3
Matrix Composition 2/25x25/laop,3.4737905886853175e-3,3.1415762232562066e-3,3.786040161084833e-3,9.767701896521888e-4,8.159629957418764e-4,1.2388407662751123e-3
Matrix Composition 3/50x50/hmatrix,2.3392841701124772e-4,2.1511092769093464e-4,2.612939964073427e-4,6.635912512287246e-5,5.033526776381609e-5,9.770726292763273e-5
Matrix Composition 3/50x50/matrix,1.8077608062778841e-3,1.6689403380287374e-3,2.1275306801557202e-3,6.488101846220612e-4,4.4601028087372905e-4,1.0369719537036831e-3
Matrix Composition 3/50x50/linear,1.2016009345433445e-2,1.1845219031895723e-2,1.2322617600419163e-2,5.95378482762528e-4,3.502141779844902e-4,8.96062218623725e-4
Matrix Composition 3/50x50/laop,1.3699065374421138e-2,1.3557261760312614e-2,1.3877718573630349e-2,4.112254026083295e-4,2.34479697350343e-4,5.914206378349012e-4
Matrix Composition 4/75x75/hmatrix,6.14068332323048e-4,6.025834594203068e-4,6.396908729085214e-4,5.480153530469032e-5,1.1563107494339836e-5,1.0165377513575177e-4
Matrix Composition 4/75x75/matrix,5.3758221042971895e-3,5.151766728388717e-3,5.8503152304486125e-3,9.380920382334141e-4,5.507492690520963e-4,1.5664799096360995e-3
Matrix Composition 4/75x75/linear,5.265153044120999e-2,5.143494649516007e-2,5.4632511923983315e-2,2.82464153929744e-3,9.975680964260463e-4,4.123131320027356e-3
Matrix Composition 4/75x75/laop,4.77345969216012e-2,4.737586031662205e-2,4.803799628210562e-2,6.021751535915013e-4,4.082196462105703e-4,9.472484460391029e-4
Matrix Composition 5/100x100/hmatrix,1.4489721305210469e-3,1.414978680820259e-3,1.5004278247967202e-3,1.4121982680581448e-4,7.174619600655731e-5,1.9819020939727813e-4
Matrix Composition 5/100x100/matrix,1.1848265650921837e-2,1.1349249132516576e-2,1.2657682808521085e-2,1.6168341734519034e-3,9.912470394347682e-4,2.7412594048013676e-3
Matrix Composition 5/100x100/linear,0.1778858912911622,0.1771698960442081,0.17882992462380495,1.1044285526402207e-3,6.536240612184033e-4,1.741523060831941e-3
Matrix Composition 5/100x100/laop,0.11104670581663988,0.10876667210464872,0.11772871953263365,5.709362912090246e-3,1.5723746314003154e-3,9.209582245297209e-3
Matrix Composition 6/200x200/hmatrix,1.0863942817758487e-2,1.083800518117635e-2,1.0955510323311298e-2,1.0805908809599407e-4,3.250746576002157e-5,1.9140972329586469e-4
Matrix Composition 6/200x200/matrix,9.308608173757103e-2,9.196049051587811e-2,9.616329709313719e-2,2.9627763830623335e-3,9.480285370728676e-4,4.454228244313477e-3
Matrix Composition 6/200x200/linear,4.0915444916875146,3.752609070125061,4.391768854812497,0.40203646494949874,0.2239405737499851,0.49202543165929935
Matrix Composition 6/200x200/laop,0.9903167335208446,0.9785757413749963,0.9994872846875111,1.3206257198783931e-2,6.783986268754911e-3,1.8541676785515746e-2
Matrix Composition 7/400x400/hmatrix,0.24201730492001464,0.2414539792000369,0.24311622640000224,1.1953230533837305e-3,5.145853428156809e-5,1.517417145951366e-3
Matrix Composition 7/400x400/matrix,1.1194466862916908,1.0857014619167369,1.1383718109166618,3.195721407633699e-2,3.1600496221394873e-3,4.054565356455761e-2
